CODE;Descrizione;UM;Depos;Codice-Deposito;Linea;Consumi dal 01/01/19 al 04/02/20;QTY;COST;Totale;Note;;
2120959;7438101-00 ASSGERAETEB R9003;Pz;5;21209595;PF;9939;333;11,09362; 3694,18 ;;;
2120959;7438101-00 ASSGERAETEB R9003;Pz;18;212095918;PF;9939;63;11,09461; 698,96 ;;;
2121081;7439301-00 FRONTGEHAEUSE BIANC;Pz;18;212108118;SL;10048;1540;1,25937; 1939,43 ;;;
2120909;7438325-00 VERDAMPFERWANNE;Pz;18;212090918;PF;10470;682;4,49454; 3065,28 ;;;
2121054;03719033-C MASK SAE NIGHT;Pz;18;212105418;PFAuto;10765;2653;0,64169; 1702,40 ;;;
2120637;7435513-01 HALTETEIL;Pz;18;212063718;PF;10800;1440;0,14894; 214,47 ;;;
2121023;7428103-02 ASSGERAETEDR7004;Pz;18;212102318;PF;10801;811;7,19102; 5831,92 ;;;
2121264;5313256541 SCENARIO NERO NBI;Pz;18;212126418;PF;10964;2156;2,04545; 4409,99 ;;;
2117420;7428037-00 TUERENDSTUECK b;Pz;18;211742018;PF;11038;600;0,71723; 430,34 ;;;
2121003;0C004075AC CARTER INFERIORE;Pz;18;212100318;PF;11118;3060;0,68622; 2099,83 ;;;
2121165;5313224991 FIANCO DX GRIGIO;Pz;3136;21211653136;PF;11194;468;1,29132; 604,34 ;;;
2121165;5313224991 FIANCO DX GRIGIO;Pz;18;212116518;PF;11194;288;1,29132; 371,90 ;;;
2121163;5313224961 FIANCO SX GRIGIO;Pz;18;212116318;PF;11261;684;1,18617; 811,34 ;;;
2121163;5313224961 FIANCO SX GRIGIO;Pz;3136;21211633136;PF;11261;502;1,18617; 595,46 ;;;
2121095;7439545-00 ABDECKUNG;Pz;18;212109518;PF;11400;2736;1,45357; 3976,97 ;;;
2117421;7428039-00 TUERENDSTUECK a;Pz;18;211742118;PF;11424;3374;0,64609; 2179,91 ;;;
2120016;7424445-01 PROFILGRIFF;Pz;5;21200165;PF;11668;320;0,39342; 125,89 ;;;
2120944;132016068 MOSTRMOBILBD7820;Pz;18;212094418;PF;11700;3900;0,04532; 176,75 ;;;
