"amount","base_code_id:id","chart_template_id:id","id","account_collected_id:id","ref_base_code_id:id","account_paid_id:id","ref_tax_code_id:id","tax_code_id:id","name","type_tax_use"
"0.0","template_impcode_pagata_0","l10n_it_chart_template_mercantile","template_iva_pagata_0","2601","template_impcode_pagata_0","1601","template_ivacode_pagata_0","template_ivacode_pagata_0","Esente IVA (credito) ","purchase"
"0.04","template_impcode_pagata_4","l10n_it_chart_template_mercantile","template_iva_pagata_4","2601","template_impcode_pagata_4","1601","template_ivacode_pagata_4","template_ivacode_pagata_4","IVA  a credito 4% ","purchase"
"0.1","template_impcode_pagata_10","l10n_it_chart_template_mercantile","template_iva_pagata_10","2601","template_impcode_pagata_10","1601","template_ivacode_pagata_10","template_ivacode_pagata_10","IVA  a credito 10% ","purchase"
"0.2","template_impcode_pagata_20","l10n_it_chart_template_mercantile","template_iva_pagata_20","2601","template_impcode_pagata_20","1601","template_ivacode_pagata_20","template_ivacode_pagata_20","IVA  a credito 20% ","purchase"
"0.0","template_impcode_riscossa_0","l10n_it_chart_template_mercantile","template_iva_riscossa_0","2601","template_impcode_riscossa_0","1601","template_ivacode_riscossa_0","template_ivacode_riscossa_0","Esente IVA (debito) ","sale"
"0.04","template_impcode_riscossa_4","l10n_it_chart_template_mercantile","template_iva_riscossa_4","2601","template_impcode_riscossa_4","1601","template_ivacode_riscossa_4","template_ivacode_riscossa_4","IVA  a debito 4% ","sale"
"0.1","template_impcode_riscossa_10","l10n_it_chart_template_mercantile","template_iva_riscossa_10","2601","template_impcode_riscossa_10","1601","template_ivacode_riscossa_10","template_ivacode_riscossa_10","IVA  a debito 10% ","sale"
"0.2","template_impcode_riscossa_20","l10n_it_chart_template_mercantile","template_iva_riscossa_20","2601","template_impcode_riscossa_20","1601","template_ivacode_riscossa_20","template_ivacode_riscossa_20","IVA  a debito 20% ","sale"
