id,code,date_start,date_stop,name
014100,014100,2004-11-25,9999-12-31,UADM PUGLIA 2 FOGGIA SEZIONE UFFICIO ACCISE DOGANE MONOPOLI
014101,014101,2004-11-25,9999-12-31,UADM PUGLIA 2 FOGGIA REPARTO TERRITORIALE MANFREDONIA
015100,015100,2005-11-03,9999-12-31,UADM PUGLIA 3 BRINDISI SEZIONE UFFICIO ACCISE DOGANE MONOPOLI
016100,016100,2005-11-03,9999-12-31,UADM PUGLIA 4 LECCE SEZIONE UFFICIO ACCISE DOGANE MONOPOLI
016101,016101,2005-11-03,9999-12-31,UADM PUGLIA 4 LECCE REPARTO TERRITORIALE GALLIPOLI
016102,016102,2005-11-03,9999-12-31,UADM PUGLIA 4 LECCE REPARTO TERRITORIALE OTRANTO
017100,017100,2006-06-28,9999-12-31,UADM PUGLIA 5 TARANTO SEZIONE UFFICIO ACCISE DOGANE MONOPOLI
018100,018100,2006-11-16,9999-12-31,UADM PUGLIA 1 BARI SEZIONE UFFICIO ACCISE DOGANE MONOPOLI
018102,018102,2006-11-16,9999-12-31,UADM PUGLIA 1 BARI AREA TERRITORIALE BARLETTA
018103,018103,2006-11-16,2025-06-16,UD BARI SOT TRANI (SOPPRESSA IL 01.07.2018)
018104,018104,2006-11-16,2025-10-31,UD BARI SOT MOLFETTA (SOPPRESSO 31.10.2025)
018105,018105,2006-11-16,9999-12-31,UADM PUGLIA 1 BARI REPARTO TERRITORIALE MONOPOLI
018106,018106,2009-12-15,2025-10-31,UD BARI SOT INTERPORTO DI BARI(SOPPRESSO 31.10.2025)
019100,019100,2006-12-28,9999-12-31,UADM BASILICATA POTENZA SEZIONE UFFICIO ACCISE DOGANE MONOPOLI
019101,019101,2006-12-28,2025-10-31,UD POTENZA SOT FERRANDINA(SOPPRESSO 31.10.2025)
019102,019102,2006-12-28,9999-12-31,UADM BASILICATA POTENZA AREA TERRITORIALE MATERA
022300,022300,2002-06-07,2025-06-13,UD REGGIO EMILIA SEZIONE OPERATIVA CENTRALE (SOPPRESSO 1.5.2025)
024100,024100,2004-12-16,2025-06-13,UD FORLI' CESENA SEZIONE OPERATIVA CENTRALE (SOPPRESSO 1.5.2025)
024101,024101,2004-12-16,2025-06-13,UD FORLI' CESENA SOT CESENA (SOPPRESSO 1.5.2025)
025100,025100,2005-06-16,2025-06-13,UD MODENA SEZIONE OPERATIVA CENTRALE (SOPPRESSO 1.5.2025)
025101,025101,2005-06-16,2013-04-09,UD MODENA SOT CARPI (SOPPRESSA 01.03.2012)
026100,026100,2005-10-27,2025-06-13,UD RIMINI SEZIONE OPERATIVA CENTRALE (SOPPRESSO 1.5.2025)
026101,026101,2005-10-27,2025-06-13,UD RIMINI SOT AEROPORTO MIRAMARE F.FELLINI (SOPPRESSO 1.5.2025)
027100,027100,2005-12-22,2025-06-13,UD FERRARA SEZIONE OPERATIVA CENTRALE (SOPPRESSO 1.5.2025)
027101,027101,2010-06-03,2025-06-16,UD FERRARA SOT PORTO GARIBALDI (SOPPRESSA 01.05.2012)
028100,028100,2006-10-19,9999-12-31,UADM EMILIA 3 PARMA SEZIONE UFFICIO ACCISE DOGANE MONOPOLI
029100,029100,2006-10-19,9999-12-31,UADM EMILIA 2 PIACENZA SEZIONE UFFICIO ACCISE DOGANE MONOPOLI
034101,034101,2005-07-14,9999-12-31,UADM BOLZANO BOLZANO REPARTO LOCALE RESIA
034102,034102,2005-07-14,9999-12-31,UADM BOLZANO BOLZANO REPARTO LOCALE AEROPORTO
034103,034103,2005-07-14,9999-12-31,UADM BOLZANO BOLZANO REPARTO LOCALE MAGAZZINI GENERALI
034104,034104,2005-07-14,9999-12-31,UADM BOLZANO BOLZANO REPARTO TERRITORIALE BRESSANONE
