id,code,date_start,date_stop,name
034105,034105,2005-07-14,9999-12-31,UADM BOLZANO BOLZANO REPARTO TERRITORIALE BRUNICO
034106,034106,2005-07-14,9999-12-31,UADM BOLZANO BOLZANO REPARTO LOCALE CAMPO DI TRENS
034107,034107,2005-07-14,9999-12-31,UADM BOLZANO BOLZANO REPARTO TERRITORIALE MERANO
034108,034108,2005-07-14,9999-12-31,UADM BOLZANO BOLZANO REPARTO LOCALE TUBRE
035100,035100,2005-07-14,9999-12-31,UADM TRENTO TRENTO SEZIONE UFFICIO ACCISE DOGANE MONOPOLI
035101,035101,2005-07-14,9999-12-31,UADM TRENTO TRENTO REPARTO LOCALE INTERPORTO
043100,043100,2002-10-17,9999-12-31,UADM SARDEGNA 2  SASSARI SEZIONE UFFICIO ACCISE DOGANE MONOPOLI
043101,043101,2002-10-17,9999-12-31,UADM SARDEGNA 2  SASSARI REPARTO LOCALE PORTO TORRES
043102,043102,2002-10-17,9999-12-31,UADM SARDEGNA 2  SASSARI DISTACCAMENTO LOCALE ALGHERO
043103,043103,2002-10-17,9999-12-31,UADM SARDEGNA 2  SASSARI REPARTO TERRITORIALE LA MADDALENA
043104,043104,2002-10-17,9999-12-31,UADM SARDEGNA 2  SASSARI DISTACCAMENTO LOCALE OLBIA
044100,044100,2006-07-20,9999-12-31,UADM SARDEGNA 1 CAGLIARI SEZIONE UFFICIO ACCISE DOGANE MONOPOLI
044101,044101,2006-07-20,9999-12-31,UADM SARDEGNA 1 CAGLIARI DISTACCAMENTO LOCALE AEROPORTO DI CAGLIARI
044102,044102,2006-07-20,2025-06-16,UD CAGLIARI SOT ARBATAX (SOPPRESSA 01.12.2015)
044103,044103,2006-07-20,9999-12-31,UADM SARDEGNA 1 CAGLIARI AREA TERRITORIALE ORISTANO
044104,044104,2006-07-20,2025-10-31,UD CAGLIARI SOT PORTOVESME(SOPPRESSO 31.10.2025)
044105,044105,2006-07-20,2012-08-31,UD CAGLIARI SOT SARROCH (SOPPRESSA 01.09.2012)
044106,044106,2012-09-01,9999-12-31,UADM SARDEGNA 1 CAGLIARI DISTACCAMENTO LOCALE PORTO CANALE
051200,051200,2002-06-07,2025-10-31,UD AREZZO SEZIONE OPERATIVA CENTRALE (SOPPRESSO 31.10.2025)
051201,051201,2002-06-07,2025-10-31,UD AREZZO SOT SIENA(SOPPRESSO 31.10.2025)
054100,054100,2003-10-14,9999-12-31,UADM TOSCANA 3 PISA SEZIONE UFFICIO ACCISE DOGANE MONOPOLI
054101,054101,2006-07-03,9999-12-31,UADM TOSCANA 3 PISA DISTACCAMENTO LOCALE AEROPORTO PISA
054102,054102,2003-10-14,2025-10-31,UD PISA SOT VIAREGGIO(SOPPRESSO 31.10.2025)
054103,054103,2003-10-14,2025-10-31,UD PISA SOT LUCCA(SOPPRESSO 31.10.2025)
054104,054104,2003-10-14,9999-12-31,UADM TOSCANA 3 PISA AREA TERRITORIALE MASSA CARRARA
054105,054105,2025-11-01,9999-12-31,UADM TOSCANA 3 PISA AREA TERRITORIALE LUCCA - VIAREGGIO
055100,055100,2003-11-03,9999-12-31,UADM TOSCANA 2 LIVORNO SEZIONE UFFICIO ACCISE DOGANE MONOPOLI
055101,055101,2003-11-03,2025-10-31,UD LIVORNO SOT PIOMBINO(SOPPRESSO 31.10.2025)
055102,055102,2003-11-03,2025-10-31,UD LIVORNO SOT PORTOFERRAIO(SOPPRESSO 31.10.2025)
055103,055103,2003-11-03,9999-12-31,UADM TOSCANA 2 LIVORNO AREA TERRITORIALE GROSSETO
055104,055104,2025-11-01,9999-12-31,UADM TOSCANA 2 LIVORNO REPARTO TERRITORIALE PIOMBINO - PORTOFERRAIO
056100,056100,2004-07-19,9999-12-31,UADM TOSCANA 4 PRATO SEZIONE UFFICIO ACCISE DOGANE MONOPOLI
056101,056101,2004-07-19,2013-07-31,UD PRATO SOT MONTALE (SOPPRESSA 01.08.2013)
057100,057100,2004-07-19,2025-10-31,UD FIRENZE SEZIONE OPERATIVA CENTRALE(SOPPRESSO 31.10.2025)
058100,058100,2021-06-15,2025-10-31,UD TERNI SEZIONE OPERATIVA CENTRALE(SOPPRESSO 31.10.2025)
066100,066100,2003-10-01,2025-10-31,UD SAVONA SEZIONE OPERATIVA CENTRALE(SOPPRESSO 31.10.2025)
066102,066102,2003-10-01,2025-06-16,UD SAVONA SOT ALBENGA (SOPPRESSA 01.01.2017)
067100,067100,2004-11-29,2025-10-31,UD IMPERIA SEZIONE OPERATIVA CENTRALE(SOPPRESSO 31.10.2025)
067101,067101,2004-11-29,2025-10-31,UD IMPERIA SOT SANREMO(SOPPRESSO 31.10.2025)
067102,067102,2004-11-29,2025-06-16,UD IMPERIA SOT VENTIMIGLIA (SOPPRESSA 01.07.2012)
068100,068100,2004-12-02,9999-12-31,UADM LIGURIA 2 LA SPEZIA SEZIONE UFFICIO ACCISE DOGANE MONOPOLI
069101,069101,2006-12-06,2025-06-16,UD GENOVA SOT AEROPORTO (SOPPRESSA 01.12.2014)
069102,069102,2006-12-06,2025-06-16,UD GENOVA SOT PASSO NUOVO (SOPPRESSA 01.12.2014)
075130,075130,2002-06-07,2025-06-16,ORIA VALSOLDA CENTRALE (SOPPRESSA 18.10.2007)
079100,079100,2004-09-06,2025-10-31,UD MANTOVA SEZIONE OPERATIVA CENTRALE(SOPPRESSO 31.10.2025)
084100,084100,2004-09-20,9999-12-31,UADM CAMPANIA 2 SALERNO SEZIONE UFFICIO ACCISE DOGANE MONOPOLI
085100,085100,2005-11-17,9999-12-31,UADM CALABRIA 2 CATANZARO SEZIONE UFFICIO ACCISE DOGANE MONOPOLI
085101,085101,2005-11-17,9999-12-31,UADM CALABRIA 2 CATANZARO DISTACCAMENTO LOCALE AEROPORTO LAMEZIA TERME
085102,085102,2005-11-17,9999-12-31,UADM CALABRIA 2 CATANZARO AREA TERRITORIALE COSENZA
085103,085103,2005-11-17,9999-12-31,UADM CALABRIA 2 CATANZARO AREA TERRITORIALE CROTONE
085104,085104,2007-06-01,9999-12-31,UADM CALABRIA 2 CATANZARO REPARTO LOCALE PORTO CORIGLIANO
086100,086100,2005-11-17,2025-10-31,UD GIOIA TAURO SEZIONE OPERATIVA CENTRALE (SOPPRESSO 31.10.2025)
087100,087100,2005-11-17,2025-10-31,UD REGGIO CALABRIA SEZIONE OPERATIVA CENTRALE(SOPPRESSO 31.10.2025)
087102,087102,2005-11-17,2025-10-31,UD REGGIO CALABRIA SOT VIBO VALENTIA(SOPPRESSO 31.10.2025)
088100,088100,2006-07-27,9999-12-31,UADM CAMPANIA 3 CASERTA SEZIONE UFFICIO ACCISE DOGANE MONOPOLI
089100,089100,2006-12-12,2025-10-31,UD BENEVENTO SEZIONE OPERATIVA CENTRALE(SOPPRESSO 31.10.2025)
089101,089101,2006-12-12,9999-12-31,UD BENEVENTO SOT AVELLINO (SOPPRESSO IL 1.7.2021)
096100,096100,2002-10-22,9999-12-31,UADM SICILIA 6 PORTO EMPEDOCLE SEZIONE UFFICIO ACCISE DOGANE MONOPOLI
096101,096101,2002-10-22,9999-12-31,UADM SICILIA 6 PORTO EMPEDOCLE REPARTO TERRITORIALE GELA
096102,096102,2002-10-22,9999-12-31,UADM SICILIA 6 PORTO EMPEDOCLE REPARTO TERRITORIALE SCIACCA
096104,096104,2002-10-22,2025-06-16,UD PORTO EMPEDOCLE SOT LAMPEDUSA (SOPPRESSA IL 1°.4.2021)
096105,096105,2004-10-01,9999-12-31,UADM SICILIA 6 PORTO EMPEDOCLE AREA TERRITORIALE CALTANISETTA
097100,097100,2002-10-22,2025-10-31,UD TRAPANI SEZIONE OPERATIVA CENTRALE(SOPPRESSO 31.10.2025)
097101,097101,2002-10-22,2025-10-31,UD TRAPANI SOT MARSALA(SOPPRESSO 31.10.2025)
097102,097102,2002-10-22,2025-10-31,UD TRAPANI SOT MAZARA DEL VALLO(SOPPRESSO 31.10.2025)
097104,097104,2002-10-22,2025-06-16,UD TRAPANI SOT PANTELLERIA (SOPPRESSA IL 1°.4.2021)
098100,098100,2003-07-31,9999-12-31,UADM SICILIA 4 MESSINA SEZIONE UFFICIO ACCISE DOGANE MONOPOLI
098101,098101,2003-07-31,9999-12-31,UADM SICILIA 4 MESSINA AREA TERRITORIALE MILAZZO
098102,098102,2003-07-31,2025-10-31,UD MESSINA SOT GIARDINI NAXOS(SOPPRESSO 31.10.2025)
098103,098103,2003-07-31,9999-12-31,UADM SICILIA 4 MESSINA REPARTO TERRITORIALE LIPARI
098104,098104,2006-12-20,9999-12-31,UADM SICILIA 4 MESSINA AREA TERRITORIALE S. AGATA DI MILITELLO
099100,099100,2006-10-12,9999-12-31,UADM SICILIA 3 SIRACUSA SEZIONE UFFICIO ACCISE DOGANE MONOPOLI
099101,099101,2006-10-12,9999-12-31,UADM SICILIA 3 SIRACUSA DISTACCAMENTO LOCALE PORTO COMMERCIALE DI AUGUSTA
099102,099102,2006-10-12,9999-12-31,UADM SICILIA 3 SIRACUSA AREA TERRITORIALE POZZALLO
099103,099103,2006-10-12,9999-12-31,UADM SICILIA 3 SIRACUSA AREA TERRITORIALE RAGUSA
105100,105100,2003-08-04,2025-10-31,UD GAETA SEZIONE OPERATIVA CENTRALE(SOPPRESSO 31.10.2025)
105101,105101,2003-08-04,2025-10-31,UD GAETA SOT APRILIA(SOPPRESSO 31.10.2025)
105104,105104,2003-08-04,2025-10-31,UD GAETA SOT LATINA(SOPPRESSO 31.10.2025)
106100,106100,2003-11-17,2012-05-01,UD AVEZZANO SEZIONE OPERATIVA CENTRALE (SOPPRESSA 01.05.2012)
106101,106101,2003-11-17,2012-05-01,UD AVEZZANO SOT L'AQUILA (SOPPRESSA 01.05.2012)
107100,107100,2004-11-22,2025-10-31,UD PERUGIA SEZIONE OPERATIVA CENTRALE(SOPPRESSO 31.10.2025)
107103,107103,2011-01-01,2025-06-16,UD PERUGIA SOT TERNI (SOPPRESSA IL 19/07/2021)
108100,108100,2004-11-22,2010-12-31,UD TERNI SEZIONE OPERATIVA CENTRALE (SOPPRESSA 01.01.2011)
108101,108101,2004-11-22,2010-12-31,UD TERNI SOT RIETI (SOPPRESSA 01.01.2011)
116100,116100,2002-06-07,2025-10-31,UD BIELLA SEZIONE OPERATIVA CENTRALE(SOPPRESSO 31.10.2025)
116101,116101,2002-06-07,2025-10-31,UD BIELLA SOT MM.GG. SAIMA AVANDERO(SOPPRESSO 31.10.2025)
117100,117100,2002-06-07,2025-10-31,UD VERCELLI SEZIONE OPERATIVA CENTRALE(SOPPRESSO 31.10.2025)
117101,117101,2002-06-07,2025-06-16,UD VERCELLI SOT MM.GG. DOGANALI VERCELLI (SOPPRESSA 01.04.2015)
117102,117102,2002-06-07,2025-10-31,UD VERCELLI SOT MM.GG. DEI TRAFORI(SOPPRESSO 31.10.2025)
118100,118100,2004-09-01,9999-12-31,UADM VALLE D'AOSTA AOSTA SEZIONE UFFICIO ACCISE DOGANE MONOPOLI
119100,119100,2004-12-13,9999-12-31,UADM PIEMONTE 5 DOMODOSSOLA SEZIONE UFFICIO ACCISE DOGANE MONOPOLI
126100,126100,2003-07-21,2025-10-31,UD PORDENONE SEZIONE OPERATIVA CENTRALE(SOPPRESSO 31.10.2025)
127100,127100,2005-11-24,9999-12-31,UADM FRIULI-VEN.GIU. 3 GORIZIA SEZIONE UFFICIO ACCISE DOGANE MONOPOLI
127101,127101,2005-11-24,9999-12-31,UADM FRIULI-VEN.GIU. 3 GORIZIA DISTACCAMENTO LOCALE PORTO MONFALCONE
127102,127102,2005-11-24,9999-12-31,UADM FRIULI-VEN.GIU. 3 GORIZIA REPARTO LOCALE RONCHI DEI LEGIONARI AEROPORTO GIULIANO
128101,128101,2006-12-14,2025-10-31,UD UDINE SOT PONTEBBA(SOPPRESSO 31.10.2025)
128102,128102,2006-12-14,2025-10-31,UD UDINE SOT PORTO NOGARO - CERVIGNANO(SOPPRESSO 31.10.2025)
128103,128103,2006-12-14,2025-10-31,UD UDINE SOT ZONA ARTIGIANALE UDINESE(SOPPRESSO 31.10.2025)
129101,129101,2007-06-21,9999-12-31,UD TRIESTE SOT FERNETTI (SOPPRESSO 1.1.2017)
129102,129102,2007-06-21,2025-10-31,UD TRIESTE SOT PORTO INDUSTRIALE(SOPPRESSO 31.10.2025)
129103,129103,2007-06-21,2025-10-31,UD TRIESTE SOT PUNTO FRANCO NUOVO(SOPPRESSO 31.10.2025)
129104,129104,2007-06-21,2025-10-31,UD TRIESTE SOT PUNTO FRANCO VECCHIO(SOPPRESSO 31.10.2025)
134100,134100,2004-09-27,9999-12-31,UADM VENETO 4 TREVISO SEZIONE UFFICIO ACCISE DOGANE MONOPOLI
134102,134102,2004-09-27,9999-12-31,UADM VENETO 4 TREVISO AREA TERRITORIALE SEDICO
135100,135100,2005-07-01,9999-12-31,UADM VENETO 3 VICENZA SEZIONE UFFICIO ACCISE DOGANE MONOPOLI
136100,136100,2006-11-30,9999-12-31,UADM VENETO 2 VERONA SEZIONE UFFICIO ACCISE DOGANE MONOPOLI
136101,136101,2006-11-30,9999-12-31,UADM VENETO 2 VERONA DISTACCAMENTO LOCALE AEROPORTO DI VERONA
136102,136102,2006-11-30,9999-12-31,UADM VENETO 2 VERONA REPARTO TERRITORIALE MM. GG DI VERONA
137100,137100,2007-10-11,9999-12-31,UADM VENETO 1 VENEZIA SEZIONE UFFICIO ACCISE DOGANE MONOPOLI
137101,137101,2007-10-11,9999-12-31,UADM VENETO 1 VENEZIA DISTACCAMENTO LOCALE AEROPORTO DI VENEZIA
137102,137102,2007-10-11,9999-12-31,UADM VENETO 1 VENEZIA REPARTO TERRITORIALE CHIOGGIA
137103,137103,2007-10-11,9999-12-31,UADM VENETO 1 VENEZIA REPARTO LOCALE INTERPORTO DI MARGHERA
137104,137104,2007-10-11,9999-12-31,UADM VENETO 1 VENEZIA REPARTO TERRITORIALE PORTOGRUARO
137105,137105,2010-10-04,9999-12-31,UADM VENETO 1 VENEZIA DISTACCAMENTO LOCALE STAZIONE MARITTIMA DI VENEZIA
138100,138100,2007-11-15,9999-12-31,UADM VENETO 5 PADOVA SEZIONE UFFICIO ACCISE DOGANE MONOPOLI
138101,138101,2007-11-15,9999-12-31,UADM VENETO 5 PADOVA AREA TERRITORIALE ROVIGO
172100,172100,2025-11-01,9999-12-31,UADM CALABRIA 1 GIOIA TAURO SEZIONE UFFICIO ACCISE DOGANE MONOPOLI
172101,172101,2025-11-01,9999-12-31,UADM CALABRIA 1  GIOIA TAURO REPARTO LOCALE PORTO DI VIBO VALENTIA
173100,173100,2025-11-01,9999-12-31,UADM CALABRIA 3 REG. CALABRIA SEZIONE UFFICIO ACCISE DOGANE MONOPOLI
181100,181100,2021-05-27,2025-10-31,UD AVELLINO SEZIONE OPERATIVA CENTRALE(SOPPRESSO 31.10.2025)
182100,182100,2025-11-01,9999-12-31,UADM NAPOLI SEZIONE UFFICIO ACCISE DOGANE MONOPOLI
182101,182101,2025-11-01,9999-12-31,UADM NAPOLI DISTACCAMENTO LOCALE AEROPORTO DI NAPOLI
182102,182102,2025-11-01,9999-12-31,UADM NAPOLI DISTACCAMENTO LOCALE INTERPORTO DI NOLA
183100,183100,2025-11-01,9999-12-31,UADM CAMPANIA 1 NAPOLI SEZIONE UFFICIO ACCISE DOGANE MONOPOLI
183101,183101,2025-11-01,9999-12-31,UADM CAMPANIA 1 NAPOLI REPARTO TERRITORIALE TORRE ANNUNZIATA C.MARE DI STABIA
184100,184100,2025-11-01,9999-12-31,UADM CAMPANIA 4 BENEVENTO SEZIONE UFFICIO ACCISE DOGANE MONOPOLI
184101,184101,2025-11-01,9999-12-31,UADM CAMPANIA 4 BENEVENTO AREA TERRITORIALE AVELLINO
201100,201100,2025-11-01,9999-12-31,UADM TOSCANA 1 FIRENZE SEZIONE UFFICIO ACCISE DOGANE MONOPOLI
201102,201102,2025-11-01,9999-12-31,UADM TOSCANA 1 FIRENZE AREA TERRITORIALE AREZZO
201103,201103,2025-11-01,9999-12-31,UADM TOSCANA 1 FIRENZE AREA TERRITORIALE SIENA
202100,202100,2025-11-01,9999-12-31,UADM UMBRIA - PERUGIA SEZIONE UFFICIO ACCISE DOGANE MONOPOLI
202102,202102,2025-11-01,9999-12-31,UADM UMBRIA - PERUGIA AREA TERRITORIALE TERNI
211101,211101,2025-11-01,9999-12-31,UADM GENOVA GENOVA DISTACCAMENTO LOCALE PORTO GENOVA PASSO NUOVO
211102,211102,2025-11-01,9999-12-31,UADM GENOVA GENOVA DISTACCAMENTO LOCALE PORTO GENOVA PRÀ
212101,212101,2025-11-01,9999-12-31,UADM LIGURIA 1 GENOVA  DISTACCAMENTO LOCALE AEROPORTO GENOVA
213100,213100,2025-11-01,9999-12-31,UADM LIGURIA 3 SAVONA SEZIONE UFFICIO ACCISE DOGANE MONOPOLI
213102,213102,2025-11-01,9999-12-31,UADM LIGURIA 3 SAVONA AREA TERRITORIALE IMPERIA
213103,213103,2025-11-01,9999-12-31,UADM LIGURIA 3 SAVONA REPARTO TERRITORIALE SANREMO
221100,221100,2006-12-06,9999-12-31,UADM ROMAGNA 1 RAVENNA SEZIONE UFFICIO ACCISE DOGANE MONOPOLI
221101,221101,2006-12-06,2025-06-16,UD RAVENNA SOT LUGO - FAENZA (SOPPRESSA 01.01.2017)
222100,222100,2007-05-24,2025-06-13,UD BOLOGNA SEZIONE OPERATIVA CENTRALE (SOPPRESSO 1.5.2025)
222101,222101,2007-05-24,2025-06-13,UD BOLOGNA SOT AEROPORTO G. MARCONI (SOPPRESSO 1.5.2025)
222102,222102,2007-05-24,2025-06-13,UD BOLOGNA SOT INTERPORTO (SOPPRESSO 1.5.2025)
223100,223100,2025-04-17,9999-12-31,UADM EMILIA 1 BOLOGNA SEZIONE UFFICIO ACCISE DOGANE MONOPOLI
223101,223101,2025-04-17,9999-12-31,UADM EMILIA 1 BOLOGNA DISTACCAMENTO LOCALE-AEROPORTO DI BOLOGNA
223102,223102,2025-04-17,9999-12-31,UADM EMILIA 1 BOLOGNA DISTACCAMENTO LOCALE-INTERPORTO DI BOLOGNA
223103,223103,2025-04-17,9999-12-31,UADM EMILIA 1 BOLOGNA AREA TERRITORIALE FERRARA
224100,224100,2025-04-17,9999-12-31,UADM EMILIA 4 MODENA SEZIONE UFFICIO ACCISE DOGANE MONOPOLI
224101,224101,2025-04-17,9999-12-31,UADM EMILIA 4 MODENA AREA TERRITORIALE REGGIO EMILIA
225100,225100,2025-04-17,9999-12-31,UADM ROMAGNA 2 RIMINI SEZIONE UFFICIO ACCISE DOGANE MONOPOLI
225101,225101,2025-04-17,9999-12-31,UADM ROMAGNA 2 RIMINI AREA TERRITORIALE FORLI'-CESENA
231100,231100,2025-11-01,9999-12-31,UADM PIEMONTE 2 ALESSANDRIA SEZIONE UFFICIO ACCISE DOGANE MONOPOLI
231101,231101,2025-11-01,9999-12-31,UADM PIEMONTE 2 ALESSANDRIA AREA TERRITORIALE ASTI
231102,231102,2025-11-01,9999-12-31,UADM PIEMONTE 2 ALESSANDRIA DISTACCAMENTO LOCALE RIVALTA SCRIVIA
231103,231103,2025-11-01,9999-12-31,UADM PIEMONTE 2 ALESSANDRIA REPARTO LOCALE POZZOLO FORMIGARO
232100,232100,2025-11-01,9999-12-31,UADM PIEMONTE 3 NOVARA SEZIONE UFFICIO ACCISE DOGANE MONOPOLI
232101,232101,2025-11-01,9999-12-31,UADM PIEMONTE 3 NOVARA AREA TERRITORIALE VERCELLI
232102,232102,2025-11-01,9999-12-31,UADM PIEMONTE 3 NOVARA REPARTO LOCALE MAGAZZINI GENERALI DEI TRAFORI
232103,232103,2025-11-01,9999-12-31,UADM PIEMONTE 3 NOVARA AREA TERRITORIALE BIELLA
261101,261101,2014-12-01,2025-10-31,UD GENOVA 1 SOT PASSO NUOVO(SOPPRESSO 31.10.2025)
262101,262101,2014-12-01,2025-10-31,UD GENOVA 2 SOT AEROPORTO(SOPPRESSO 31.10.2025)
262102,262102,2014-12-01,2025-10-31,UD GENOVA 2 SOT PRA'(SOPPRESSO 31.10.2025)
263100,263100,2014-12-01,2025-10-31,UD RIVALTA SCRIVIA-R.PORTO GE SEZIONE OPERATIVA CENTRALE(SOPPRESSO 31.10.2025)
263101,263101,2014-12-01,2025-10-31,UD RIVALTA SCRIVIA-R.PORTO GE SOT POZZOLO FORMIGARO(SOPPRESSO 31.10.2025)
271100,271100,2005-12-15,2025-10-31,UD PAVIA SEZIONE OPERATIVA CENTRALE(SOPPRESSO 31.10.2025)
271102,271102,2005-12-15,2025-10-31,UD PAVIA SOT VIGEVANO(SOPPRESSO 31.10.2025)
271103,271103,2005-12-15,2025-10-31,UD PAVIA SOT VOGHERA(SOPPRESSO 31.10.2025)
272100,272100,2006-10-26,9999-12-31,UADM LOMBARDIA 9 TIRANO SEZIONE UFFICIO ACCISE DOGANE MONOPOLI
272102,272102,2006-10-26,9999-12-31,UADM LOMBARDIA 9 TIRANO AREA TERRITORIALE SONDRIO
272103,272103,2006-10-26,9999-12-31,UADM LOMBARDIA 9 TIRANO DISTACCAMENTO LOCALE VILLA DI CHIAVENNA
273100,273100,2006-11-23,9999-12-31,UADM LOMBARDIA 4 VARESE SEZIONE UFFICIO ACCISE DOGANE MONOPOLI
273101,273101,2006-11-23,9999-12-31,UADM LOMBARDIA 4 VARESE DISTACCAMENTO LOCALE BUSTO ARSIZIO
273102,273102,2006-11-23,9999-12-31,UADM LOMBARDIA 4 VARESE DISTACCAMENTO LOCALE GAGGIOLO
273104,273104,2006-11-23,9999-12-31,UADM LOMBARDIA 4 VARESE REPARTO LOCALE LUINO
273105,273105,2006-11-23,9999-12-31,UADM LOMBARDIA 4 VARESE DISTACCAMENTO LOCALE PONTE TRESA
273107,273107,2007-12-18,2025-06-16,UD VARESE-MALPENSA SOT MALPENSA (SOPPRESSA 01.01.2010)
274100,274100,2007-06-14,2025-10-31,UD BRESCIA SEZIONE OPERATIVA CENTRALE(SOPPRESSO 31.10.2025)
274101,274101,2007-06-14,2025-10-31,UD BRESCIA SOT CREMONA (SOPPRESSO 31.10.2025)
275100,275100,2007-10-18,9999-12-31,UADM LOMBARDIA 8 COMO SEZIONE UFFICIO ACCISE DOGANE MONOPOLI
275102,275102,2007-10-18,9999-12-31,UADM LOMBARDIA 8 COMO AREA TERRITORIALE LECCO
275103,275103,2007-10-18,9999-12-31,UADM LOMBARDIA 8 COMO AREA TERRITORIALE MONTE LUCINO
275104,275104,2007-10-18,9999-12-31,UADM LOMBARDIA 8 COMO REPARTO LOCALE ORIA VALSOLDA
275105,275105,2007-10-18,9999-12-31,UADM LOMBARDIA 8 COMO DISTACCAMENTO LOCALE PONTE CHIASSO
276100,276100,2007-11-15,9999-12-31,UADM LOMBARDIA 6 BERGAMO SEZIONE UFFICIO ACCISE DOGANE MONOPOLI
277100,277100,2007-12-20,9999-12-31,UADM MILANO MILANO SEZIONE UFFICIO ACCISE DOGANE MONOPOLI
277101,277101,2007-12-20,2025-06-16,UD MILANO 1 SOT LINATE (SOPPRESSA 01.01.2013)
277102,277102,2007-12-20,9999-12-31,UADM MILANO MILANO REPARTO LOCALE O.N.T. MAGAZZINI GENERALI
278100,278100,2007-12-20,2025-10-31,UD MILANO 2 SEZIONE OPERATIVA CENTRALE(SOPPRESSO 31.10.2025)
278101,278101,2007-12-20,2025-10-31,UD MILANO 2 SOT CONCOREZZO(SOPPRESSO 31.10.2025)
278103,278103,2007-12-20,2010-09-30,UD MILANO 2 SOT LAINATE (SOPPRESSA 01.11.2009)
278104,278104,2007-12-20,2025-06-16,UD MILANO 2 SOT PIOLTELLO (SOPPRESSA 01.01.2013)
278105,278105,2007-12-20,2025-10-31,UD MILANO 2 SOT RHO(SOPPRESSO 31.10.2025)
278106,278106,2007-12-20,2025-10-31,UD MILANO 2 SOT TURBIGO(SOPPRESSO 31.10.2025)
278107,278107,2007-12-20,2025-10-31,UD MILANO 2 SOT VITTUONE(SOPPRESSO 31.10.2025)
