"name","id","country_id:id"
"Piemonte","pie","base.it"
"Valle d'Aosta","vda","base.it"
"Lombardia","lom","base.it"
"Trentino-Alto Adige","taa","base.it"
"Veneto","ven","base.it"
"Friuli-Venezia Giulia","fvg","base.it"
"Liguria","lig","base.it"
"Emilia-Romagna","emr","base.it"
"Toscana","tos","base.it"
"Umbria","umb","base.it"
"Marche","mar","base.it"
"Lazio","laz","base.it"
"Abruzzo","abr","base.it"
"Molise","mol","base.it"
"Campania","cam","base.it"
"Puglia","pug","base.it"
"Basilicata","bas","base.it"
"Calabria","cal","base.it"
"Sicilia","sic","base.it"
"Sardegna","sar","base.it"
