"id","code","name","close_method"
"account_type_receivable","Cr","Crediti","unreconciled"
"account_type_payable","D","Debiti","unreconciled"
"account_type_view","V","Vista","unreconciled"
"account_type_income","E","Entrate","unreconciled"
"account_type_expense","U","Uscite","unreconciled"
"account_type_tax","T","Tasse","unreconciled"
"account_type_cash","L","Liquidità","unreconciled"
"account_type_asset","A","Attività","unreconciled"
"account_type_equity","Ca","Capitale","unreconciled"
"account_type_liability","P","Passività","unreconciled"
