"id","country_id","name","code"
it_region_abruzzo,it,"Abruzzo","01"
it_region_basilicata,it,"Basilicata","02"
it_region_calabria,it,"Calabria","03"
it_region_campania,it,"Campania","04"
it_region_emilia_romagna,it,"Emilia-Romagna","05"
it_region_friuli_venezia_giulia,it,"Friuli-Venezia Giulia","06"
it_region_lazio,it,"Lazio","07"
it_region_liguria,it,"Liguria","08"
it_region_lombardia,it,"Lombardia","09"
it_region_marche,it,"Marche","10"
it_region_molise,it,"Molise","11"
it_region_piemonte,it,"Piemonte","12"
it_region_puglia,it,"Puglia","13"
it_region_sardegna,it,"Sardegna","14"
it_region_sicilia,it,"Sicilia","15"
it_region_toscana,it,"Toscana","16"
it_region_trentino_alto_adige,it,"Trentino-Alto Adige","17"
it_region_umbria,it,"Umbria","18"
it_region_valle_daosta,it,"Valle d'Aosta","19"
it_region_veneto,it,"Veneto","20"
